Timestep	Region	Deaths	Casualties	Sheltered
1	Region01	0	0	0
1	Region02	0	0	0
1	Region03	0	0	0
1	Region04	0	0	0
1	Region05	0	0	0
1	Region06	0	0	0
1	Region07	0	0	0
1	Region08	0	0	0
1	Region09	0	0	0
1	Region10	0	0	0
1	Region11	0	0	0
1	Region12	0	0	0
1	Region13	0	0	0
1	Region14	0	0	0
1	Region15	0	0	0
1	Region16	0	0	0
2	Region01	0	0	0
2	Region02	0	0	0
2	Region03	0	0	0
2	Region04	0	0	0
2	Region05	0	0	0
2	Region06	0	0	0
2	Region07	0	0	0
2	Region08	0	0	0
2	Region09	0	0	0
2	Region10	0	0	0
2	Region11	0	0	0
2	Region12	0	0	0
2	Region13	0	0	0
2	Region14	0	0	0
2	Region15	0	0	0
2	Region16	0	0	0
3	Region01	0	0	0
3	Region02	0	0	0
3	Region03	0	0	0
3	Region04	0	0	0
3	Region05	0	0	0
3	Region06	0	0	0
3	Region07	0	0	0
3	Region08	0	0	0
3	Region09	0	0	0
3	Region10	0	0	0
3	Region11	0	0	0
3	Region12	0	1	0
3	Region13	0	0	0
3	Region14	0	0	0
3	Region15	0	0	0
3	Region16	0	0	0
4	Region01	0	0	0
4	Region02	0	0	0
4	Region03	0	0	0
4	Region04	0	1	0
4	Region05	0	0	0
4	Region06	0	0	0
4	Region07	0	0	0
4	Region08	0	0	0
4	Region09	0	0	0
4	Region10	0	0	0
4	Region11	0	0	0
4	Region12	0	1	0
4	Region13	0	0	0
4	Region14	0	0	0
4	Region15	0	0	0
4	Region16	0	0	0
5	Region01	0	0	0
5	Region02	0	0	0
5	Region03	0	0	0
5	Region04	0	1	0
5	Region05	0	0	0
5	Region06	0	0	0
5	Region07	0	0	0
5	Region08	0	0	0
5	Region09	0	0	0
5	Region10	0	0	0
5	Region11	0	0	0
5	Region12	0	1	0
5	Region13	0	0	0
5	Region14	0	0	0
5	Region15	0	0	0
5	Region16	0	0	0
6	Region01	0	0	0
6	Region02	0	0	0
6	Region03	0	0	0
6	Region04	0	1	0
6	Region05	0	0	0
6	Region06	0	0	0
6	Region07	0	0	0
6	Region08	0	0	0
6	Region09	0	0	0
6	Region10	0	0	0
6	Region11	0	0	0
6	Region12	0	1	0
6	Region13	0	0	0
6	Region14	0	0	0
6	Region15	0	0	0
6	Region16	0	0	0
7	Region01	0	0	0
7	Region02	0	0	0
7	Region03	0	0	0
7	Region04	0	1	0
7	Region05	0	0	0
7	Region06	0	0	0
7	Region07	0	0	0
7	Region08	0	0	0
7	Region09	0	0	0
7	Region10	0	0	0
7	Region11	0	0	0
7	Region12	0	1	0
7	Region13	0	0	0
7	Region14	0	0	0
7	Region15	0	0	0
7	Region16	0	0	0
8	Region01	0	0	0
8	Region02	0	0	0
8	Region03	0	0	0
8	Region04	0	1	0
8	Region05	0	0	0
8	Region06	0	0	0
8	Region07	0	0	0
8	Region08	0	0	0
8	Region09	0	0	0
8	Region10	0	0	0
8	Region11	0	0	0
8	Region12	0	0	0
8	Region13	0	0	1
8	Region14	0	0	0
8	Region15	0	0	0
8	Region16	0	0	0
9	Region01	0	0	0
9	Region02	0	0	0
9	Region03	0	0	0
9	Region04	0	1	0
9	Region05	0	0	0
9	Region06	0	0	0
9	Region07	0	0	0
9	Region08	0	0	0
9	Region09	0	0	0
9	Region10	0	0	0
9	Region11	0	0	0
9	Region12	0	1	0
9	Region13	0	1	0
9	Region14	0	0	0
9	Region15	0	0	0
9	Region16	0	0	0
10	Region01	0	0	0
10	Region02	0	0	0
10	Region03	0	0	0
10	Region04	0	0	0
10	Region05	0	0	0
10	Region06	0	0	0
10	Region07	0	0	0
10	Region08	0	0	0
10	Region09	0	0	0
10	Region10	0	0	0
10	Region11	0	0	0
10	Region12	0	0	0
10	Region13	0	2	1
10	Region14	0	0	0
10	Region15	0	0	0
10	Region16	0	0	0
11	Region01	0	0	0
11	Region02	0	0	0
11	Region03	0	0	0
11	Region04	0	1	0
11	Region05	0	1	0
11	Region06	0	0	0
11	Region07	0	0	0
11	Region08	0	0	0
11	Region09	0	0	0
11	Region10	0	0	0
11	Region11	0	1	0
11	Region12	0	1	0
11	Region13	0	1	0
11	Region14	0	0	0
11	Region15	0	0	0
11	Region16	0	2	0
12	Region01	0	0	0
12	Region02	0	0	0
12	Region03	0	0	0
12	Region04	0	0	0
12	Region05	0	0	0
12	Region06	0	0	0
12	Region07	0	0	0
12	Region08	0	0	0
12	Region09	0	0	0
12	Region10	0	0	0
12	Region11	0	1	0
12	Region12	0	0	0
12	Region13	0	0	1
12	Region14	0	0	0
12	Region15	0	1	0
12	Region16	0	0	0
13	Region01	0	0	0
13	Region02	0	0	0
13	Region03	0	0	0
13	Region04	0	0	0
13	Region05	0	0	0
13	Region06	0	0	0
13	Region07	0	0	0
13	Region08	0	0	0
13	Region09	0	0	0
13	Region10	0	0	0
13	Region11	0	1	0
13	Region12	0	0	0
13	Region13	0	1	1
13	Region14	0	0	0
13	Region15	0	0	0
13	Region16	0	0	0
14	Region01	0	0	0
14	Region02	0	0	0
14	Region03	0	0	0
14	Region04	0	0	0
14	Region05	0	0	0
14	Region06	0	0	0
14	Region07	0	0	0
14	Region08	0	0	0
14	Region09	0	0	0
14	Region10	0	0	0
14	Region11	0	0	0
14	Region12	0	0	0
14	Region13	0	0	1
14	Region14	0	0	0
14	Region15	0	0	0
14	Region16	0	0	0
15	Region01	0	0	0
15	Region02	0	0	0
15	Region03	0	0	0
15	Region04	0	0	0
15	Region05	0	0	0
15	Region06	0	0	0
15	Region07	0	0	0
15	Region08	0	0	0
15	Region09	0	0	0
15	Region10	0	0	0
15	Region11	0	0	0
15	Region12	0	0	0
15	Region13	0	0	1
15	Region14	0	0	0
15	Region15	0	0	0
15	Region16	0	0	0
16	Region01	0	0	0
16	Region02	0	0	0
16	Region03	0	0	0
16	Region04	0	0	0
16	Region05	0	0	0
16	Region06	0	0	0
16	Region07	0	0	0
16	Region08	0	0	0
16	Region09	0	0	0
16	Region10	0	0	0
16	Region11	0	0	0
16	Region12	0	0	0
16	Region13	0	0	0
16	Region14	0	0	0
16	Region15	0	0	0
16	Region16	0	0	0
17	Region01	0	0	0
17	Region02	0	0	0
17	Region03	0	0	0
17	Region04	0	0	0
17	Region05	0	0	0
17	Region06	0	0	0
17	Region07	0	0	0
17	Region08	0	0	0
17	Region09	0	0	0
17	Region10	0	0	0
17	Region11	0	0	0
17	Region12	0	0	0
17	Region13	0	0	0
17	Region14	0	0	0
17	Region15	0	0	0
17	Region16	0	0	0
18	Region01	0	0	0
18	Region02	0	0	0
18	Region03	0	0	0
18	Region04	0	0	0
18	Region05	0	0	0
18	Region06	0	0	0
18	Region07	0	0	0
18	Region08	0	0	0
18	Region09	0	0	0
18	Region10	0	0	0
18	Region11	0	0	0
18	Region12	0	0	0
18	Region13	0	0	0
18	Region14	0	0	0
18	Region15	0	0	0
18	Region16	0	0	0
19	Region01	0	0	0
19	Region02	0	0	0
19	Region03	0	0	0
19	Region04	0	0	0
19	Region05	0	0	0
19	Region06	0	0	0
19	Region07	0	0	0
19	Region08	0	0	0
19	Region09	0	0	0
19	Region10	0	0	0
19	Region11	0	0	0
19	Region12	0	0	0
19	Region13	0	0	0
19	Region14	0	0	0
19	Region15	0	0	0
19	Region16	0	0	0
20	Region01	0	0	0
20	Region02	0	0	0
20	Region03	0	0	0
20	Region04	0	0	0
20	Region05	0	0	0
20	Region06	0	0	0
20	Region07	0	0	0
20	Region08	0	0	0
20	Region09	0	0	0
20	Region10	0	0	0
20	Region11	0	0	0
20	Region12	0	0	0
20	Region13	0	0	1
20	Region14	0	0	0
20	Region15	0	0	0
20	Region16	0	0	0
21	Region01	0	0	0
21	Region02	0	0	0
21	Region03	0	0	0
21	Region04	0	0	0
21	Region05	0	1	0
21	Region06	0	0	0
21	Region07	0	0	0
21	Region08	0	0	0
21	Region09	0	0	0
21	Region10	0	0	0
21	Region11	0	0	0
21	Region12	0	0	0
21	Region13	0	0	0
21	Region14	0	0	0
21	Region15	0	0	0
21	Region16	0	0	0
22	Region01	0	0	0
22	Region02	0	0	0
22	Region03	0	0	0
22	Region04	0	0	0
22	Region05	0	0	0
22	Region06	0	0	0
22	Region07	0	0	0
22	Region08	0	0	0
22	Region09	0	0	0
22	Region10	0	0	0
22	Region11	0	0	0
22	Region12	0	0	0
22	Region13	0	0	1
22	Region14	0	0	0
22	Region15	0	0	0
22	Region16	0	0	0
23	Region01	0	0	0
23	Region02	0	0	0
23	Region03	0	0	0
23	Region04	0	0	0
23	Region05	0	0	0
23	Region06	0	0	0
23	Region07	0	0	0
23	Region08	0	0	0
23	Region09	0	0	0
23	Region10	0	0	0
23	Region11	0	0	0
23	Region12	0	0	0
23	Region13	0	0	0
23	Region14	0	0	0
23	Region15	0	0	0
23	Region16	0	0	0
24	Region01	0	0	0
24	Region02	0	0	0
24	Region03	0	0	0
24	Region04	0	0	0
24	Region05	0	0	0
24	Region06	0	0	0
24	Region07	0	0	0
24	Region08	0	0	0
24	Region09	0	0	0
24	Region10	0	0	0
24	Region11	0	0	0
24	Region12	0	0	0
24	Region13	0	0	1
24	Region14	0	0	0
24	Region15	0	0	0
24	Region16	0	0	0
25	Region01	0	0	0
25	Region02	0	0	0
25	Region03	0	0	0
25	Region04	0	0	0
25	Region05	0	0	0
25	Region06	0	0	0
25	Region07	0	0	0
25	Region08	0	0	0
25	Region09	0	0	0
25	Region10	0	0	0
25	Region11	0	0	0
25	Region12	0	0	0
25	Region13	0	0	1
25	Region14	0	0	0
25	Region15	0	0	0
25	Region16	0	0	0
26	Region01	0	0	0
26	Region02	0	0	0
26	Region03	0	0	0
26	Region04	0	0	0
26	Region05	0	0	0
26	Region06	0	0	0
26	Region07	0	0	0
26	Region08	0	0	0
26	Region09	0	0	0
26	Region10	0	0	0
26	Region11	0	0	0
26	Region12	0	0	0
26	Region13	0	0	1
26	Region14	0	0	0
26	Region15	0	0	0
26	Region16	0	0	0
27	Region01	0	0	0
27	Region02	0	0	0
27	Region03	0	0	0
27	Region04	0	0	0
27	Region05	0	0	0
27	Region06	0	0	0
27	Region07	0	0	0
27	Region08	0	0	0
27	Region09	0	0	0
27	Region10	0	0	0
27	Region11	0	0	0
27	Region12	0	0	0
27	Region13	0	0	0
27	Region14	0	0	0
27	Region15	0	0	0
27	Region16	0	0	0
28	Region01	0	0	0
28	Region02	0	0	0
28	Region03	0	0	0
28	Region04	0	0	0
28	Region05	0	0	0
28	Region06	0	0	0
28	Region07	0	0	0
28	Region08	0	0	0
28	Region09	0	0	0
28	Region10	0	0	0
28	Region11	0	0	0
28	Region12	0	0	0
28	Region13	0	0	0
28	Region14	0	0	0
28	Region15	0	0	0
28	Region16	0	0	0
29	Region01	0	0	0
29	Region02	0	0	0
29	Region03	0	0	0
29	Region04	0	0	0
29	Region05	0	0	0
29	Region06	0	0	0
29	Region07	0	0	0
29	Region08	0	0	0
29	Region09	0	0	0
29	Region10	0	0	0
29	Region11	0	0	0
29	Region12	0	0	0
29	Region13	0	0	0
29	Region14	0	0	0
29	Region15	0	0	0
29	Region16	0	0	0
30	Region01	0	0	0
30	Region02	0	0	0
30	Region03	0	0	0
30	Region04	0	0	0
30	Region05	0	0	0
30	Region06	0	0	0
30	Region07	0	0	0
30	Region08	0	0	0
30	Region09	0	0	0
30	Region10	0	0	0
30	Region11	0	0	0
30	Region12	0	0	0
30	Region13	0	0	0
30	Region14	0	0	0
30	Region15	0	0	0
30	Region16	0	0	0
31	Region01	0	0	0
31	Region02	0	0	0
31	Region03	0	0	0
31	Region04	0	0	0
31	Region05	0	0	0
31	Region06	0	0	0
31	Region07	0	0	0
31	Region08	0	0	0
31	Region09	0	0	0
31	Region10	0	0	0
31	Region11	0	0	0
31	Region12	0	0	0
31	Region13	0	0	0
31	Region14	0	0	0
31	Region15	0	0	0
31	Region16	0	0	0
32	Region01	0	1	0
32	Region02	0	0	0
32	Region03	0	0	0
32	Region04	0	0	0
32	Region05	0	2	0
32	Region06	0	0	0
32	Region07	0	1	0
32	Region08	0	0	0
32	Region09	0	0	0
32	Region10	0	0	0
32	Region11	0	0	0
32	Region12	0	0	0
32	Region13	0	0	1
32	Region14	0	0	0
32	Region15	0	0	0
32	Region16	0	0	0
33	Region01	0	2	0
33	Region02	0	0	0
33	Region03	0	0	0
33	Region04	0	0	0
33	Region05	0	4	0
33	Region06	0	0	0
33	Region07	0	2	0
33	Region08	0	0	1
33	Region09	0	2	0
33	Region10	0	0	0
33	Region11	0	0	0
33	Region12	0	0	0
33	Region13	0	0	0
33	Region14	0	0	0
33	Region15	0	0	0
33	Region16	0	0	0
34	Region01	0	4	0
34	Region02	0	0	0
34	Region03	0	0	0
34	Region04	0	3	0
34	Region05	0	4	0
34	Region06	0	1	0
34	Region07	0	2	0
34	Region08	0	0	1
34	Region09	0	1	0
34	Region10	0	0	0
34	Region11	0	0	0
34	Region12	0	0	0
34	Region13	0	1	1
34	Region14	0	0	0
34	Region15	0	0	0
34	Region16	0	0	0
35	Region01	0	4	0
35	Region02	0	0	0
35	Region03	0	2	0
35	Region04	0	4	0
35	Region05	0	2	0
35	Region06	0	0	0
35	Region07	0	6	0
35	Region08	0	1	1
35	Region09	0	0	0
35	Region10	0	1	0
35	Region11	0	0	0
35	Region12	0	1	0
35	Region13	0	0	0
35	Region14	0	1	0
35	Region15	0	1	0
35	Region16	0	0	0
36	Region01	0	3	0
36	Region02	0	0	0
36	Region03	0	3	0
36	Region04	0	8	0
36	Region05	0	1	0
36	Region06	0	0	0
36	Region07	0	4	0
36	Region08	0	1	1
36	Region09	0	0	0
36	Region10	0	1	0
36	Region11	0	0	0
36	Region12	0	2	0
36	Region13	0	1	1
36	Region14	0	1	0
36	Region15	0	0	0
36	Region16	0	0	0
37	Region01	0	2	0
37	Region02	0	0	0
37	Region03	0	2	0
37	Region04	0	5	0
37	Region05	0	1	0
37	Region06	0	0	0
37	Region07	0	3	0
37	Region08	0	3	1
37	Region09	0	0	0
37	Region10	0	1	0
37	Region11	0	0	0
37	Region12	0	1	0
37	Region13	0	0	0
37	Region14	0	1	0
37	Region15	0	1	0
37	Region16	0	0	0
38	Region01	0	1	0
38	Region02	0	0	0
38	Region03	0	0	0
38	Region04	0	0	0
38	Region05	0	0	0
38	Region06	0	0	0
38	Region07	0	1	0
38	Region08	0	2	1
38	Region09	0	0	0
38	Region10	0	1	0
38	Region11	0	0	0
38	Region12	0	1	0
38	Region13	0	0	1
38	Region14	0	0	0
38	Region15	0	0	0
38	Region16	0	0	0
39	Region01	0	0	0
39	Region02	0	0	0
39	Region03	0	0	0
39	Region04	0	0	0
39	Region05	0	0	0
39	Region06	0	0	0
39	Region07	0	1	0
39	Region08	0	1	1
39	Region09	0	0	0
39	Region10	0	0	0
39	Region11	0	0	0
39	Region12	0	0	0
39	Region13	0	0	1
39	Region14	0	0	0
39	Region15	0	0	0
39	Region16	0	0	0
40	Region01	0	0	0
40	Region02	0	0	0
40	Region03	0	0	0
40	Region04	0	0	0
40	Region05	0	0	0
40	Region06	0	0	0
40	Region07	0	0	0
40	Region08	0	0	1
40	Region09	0	0	0
40	Region10	0	0	0
40	Region11	0	0	0
40	Region12	0	0	0
40	Region13	0	0	1
40	Region14	0	0	0
40	Region15	0	0	0
40	Region16	0	0	0
41	Region01	0	0	0
41	Region02	0	0	0
41	Region03	0	0	0
41	Region04	0	0	0
41	Region05	0	0	0
41	Region06	0	0	0
41	Region07	0	0	0
41	Region08	0	0	1
41	Region09	0	0	0
41	Region10	0	0	0
41	Region11	0	0	0
41	Region12	0	0	0
41	Region13	0	0	1
41	Region14	0	0	0
41	Region15	0	0	0
41	Region16	0	0	0
42	Region01	0	0	0
42	Region02	0	0	0
